id;family_id;type;value;comment;created_by
NULL;1;TEL;228348684;Lorem ipsum dolor sit amet, consectetur adipiscing elit.;system
NULL;3;TEL;0228361813;NULL;system
NULL;3;MAIL;sekretariat@naszaszkola.edu.pl;Nunc sed ante eget leo elementum sodales non non dolor.;system
NULL;4;TEL;224782874;Phasellus convallis sem non sapien pretium lobortis.;system
NULL;5;TEL;228229895;NULL;system
NULL;5;MAIL;ckpwaw@neostrada.pl;Duis et turpis auctor, rhoncus arcu sed, fermentum velit.;system
NULL;6;TEL;226319020;Proin porttitor purus vel elit maximus varius eget tristique ipsum.;system
NULL;7;TEL;228450292;Curabitur ut mauris in metus feugiat ornare iaculis a enim.;system
NULL;8;MAIL;zpow@zpow.eu;NULL;system
NULL;9;TEL;0226192745;Etiam et dui sit amet leo porta suscipit.;system
NULL;10;MAIL;bursa@bursa.edu.pl;Duis faucibus sapien id odio varius venenatis.;system
NULL;11;TEL;226590240;NULL;system
NULL;12;MAIL;szkolenia@csz.waw.pl;Cras imperdiet est vehicula urna luctus, vitae mollis turpis viverra.;system
NULL;13;TEL;228882777;NULL;system
NULL;14;TEL;226674654;Nullam tempus urna in neque tempus efficitur.;system
NULL;15;MAIL;cku2@rubikon.pl;Curabitur a tortor quis quam efficitur rhoncus et eget tortor.;system
NULL;16;MAIL;sekretariat@cku3.pl;Aliquam tempus metus nec lorem egestas, et ultricies velit consequat.;system
NULL;17;TEL;0228187021;Fusce ultricies leo in nunc lobortis lacinia.;system
NULL;18;MAIL;sekretariat@skarga.edu.pl;Morbi suscipit urna at nulla consectetur, eu finibus libero tincidunt.;system
NULL;19;TEL;515130903;Integer quis odio in ante dignissim tincidunt.;system
NULL;20;MAIL;sekretariat@wladyslaw.edu.pl;NULL;system
NULL;21;MAIL;g4@edu.um.warszawa.pl;Praesent sed tortor varius enim accumsan vehicula eu in velit.;system
NULL;22;TEL;228104617;Vestibulum volutpat tellus sed mi dictum, vitae pellentesque nunc tempus.;system
NULL;23;TEL;0228256915;Sed pretium est pharetra suscipit condimentum.;system
NULL;24;MAIL;cku5@edu.um.warszawa.pl;Vestibulum in eros mattis, tristique ante vel, feugiat urna.;system
NULL;25;TEL;226190038;NULL;system
NULL;26;MAIL;bursa4@bursa4.waw.pl;Praesent ut nibh a arcu blandit accumsan a sed tortor.;system
NULL;27;TEL;228108488;Nam faucibus libero quis sodales ullamcorper.;system
NULL;28;MAIL;sekretariat@ckziu.waw.pl.pl;Suspendisse vitae arcu interdum, tincidunt libero et, dictum leo.;system
NULL;29;TEL;228429360;Phasellus nec nisi nec orci fringilla tincidunt porttitor at arcu.;system
NULL;30;TEL;0226192745;Cras varius enim sit amet dictum maximus.;system
NULL;31;MAIL;sekretariat@cku1.edu.pl;Etiam tempor elit et felis rutrum, vel porttitor metus consectetur.;system
